frame_id	cam_pitch	cam_yaw		vehicel_speed	steeringwheel_angle
    1		0.000000	0.000000	6.125000		368.187500
    2		0.000000	0.000000	6.234375		368.187500
    3		-3.170000	-0.600000	6.343750		368.187500
    4		-3.170000	-0.600000	6.343750		368.187500
    5		-3.170000	-0.600000	6.468750		368.187500
    6		-3.170000	-0.600000	6.468750		368.187500
    7		-3.170000	-0.600000	6.687500		367.937500
    8		-3.170000	-0.600000	6.687500		367.875000
    9		-3.170000	-0.600000	6.796875		367.000000
   10		-3.170000	-0.600000	6.796875		365.875000
   11		-3.170000	-0.600000	6.906250		361.312500
   12		-3.170000	-0.600000	6.968750		359.125000
   13		-3.170000	-0.600000	6.968750		355.000000
   14		-3.170000	-0.600000	7.031250		353.875000
   15		-3.170000	-0.600000	7.031250		351.062500
   16		-3.170000	-0.600000	7.031250		350.125000
   17		-3.170000	-0.600000	7.078125		347.625000
   18		-3.170000	-0.600000	7.078125		345.625000
   19		-3.170000	-0.600000	7.187500		337.937500
   20		-3.170000	-0.600000	7.187500		335.500000
   21		-3.170000	-0.600000	7.187500		331.437500
   22		-3.170000	-0.600000	7.187500		329.375000
   23		-3.170000	-0.600000	7.187500		325.937500
   24		-3.170000	-0.600000	7.187500		319.875000
   25		-3.170000	-0.600000	7.187500		312.000000
   26		-3.170000	-0.600000	7.250000		304.000000
   27		-3.170000	-0.600000	7.250000		297.312500
   28		-3.170000	-0.600000	7.250000		293.750000
   29		-3.170000	-0.600000	7.312500		282.937500
   30		-3.170000	-0.600000	7.250000		273.687500
   31		-3.170000	-0.600000	7.250000		266.812500
   32		-3.170000	-0.600000	7.250000		261.312500
   33		-3.170000	-0.600000	7.312500		248.312500
   34		-3.170000	-0.600000	7.312500		233.437500
   35		-3.170000	-0.600000	7.250000		221.000000
   36		-3.170000	-0.600000	7.250000		216.062500
   37		-3.170000	-0.600000	7.250000		197.187500
   38		-3.170000	-0.600000	7.250000		190.562500
   39		-3.170000	-0.600000	7.250000		177.187500
   40		-3.170000	-0.600000	7.250000		170.437500
   41		-3.170000	-0.600000	7.250000		161.312500
   42		-3.170000	-0.600000	7.250000		151.875000
   43		-3.170000	-0.600000	7.250000		141.562500
   44		-3.170000	-0.600000	7.187500		137.437500
   45		-3.170000	-0.600000	7.250000		127.187500
   46		-3.170000	-0.600000	7.250000		123.375000
   47		-3.170000	-0.600000	7.187500		116.375000
   48		-3.170000	-0.600000	7.250000		109.875000
   49		-3.170000	-0.600000	7.250000		106.250000
   50		-3.170000	-0.600000	7.250000		105.250000
   51		-3.170000	-0.600000	7.312500		104.687500
   52		-3.170000	-0.600000	7.312500		104.437500
   53		-3.170000	-0.600000	7.359375		104.000000
   54		-3.170000	-0.600000	7.421875		103.750000
   55		-3.170000	-0.600000	7.421875		103.437500
   56		-3.170000	-0.600000	7.421875		103.437500
   57		-3.170000	-0.600000	7.421875		103.437500
   58		-3.170000	-0.600000	7.421875		104.375000
   59		-3.170000	-0.600000	7.468750		106.312500
   60		-3.170000	-0.600000	7.468750		107.750000
   61		-3.170000	-0.600000	7.468750		108.562500
   62		-3.170000	-0.600000	7.468750		108.625000
   63		-3.170000	-0.600000	7.593750		109.437500
   64		-3.170000	-0.600000	7.593750		111.375000
   65		-3.170000	-0.600000	7.593750		114.187500
   66		-3.170000	-0.600000	7.640625		115.875000
   67		-3.170000	-0.600000	7.640625		118.500000
   68		-3.170000	-0.600000	7.593750		121.562500
   69		-3.170000	-0.600000	7.421875		125.750000
   70		-3.170000	-0.600000	7.421875		127.250000
   71		-3.170000	-0.600000	7.359375		131.562500
   72		-3.170000	-0.600000	7.140625		134.125000
   73		-3.170000	-0.600000	7.140625		137.250000
   74		-3.170000	-0.600000	6.859375		138.625000
   75		-3.170000	-0.600000	6.578125		141.000000
   76		-3.170000	-0.600000	6.578125		143.937500
   77		-3.170000	-0.600000	6.296875		147.687500
   78		-3.170000	-0.600000	6.296875		148.750000
   79		-3.170000	-0.600000	6.015625		154.312500
   80		-3.170000	-0.600000	6.015625		155.812500
   81		-3.170000	-0.600000	5.953125		157.625000
   82		-3.170000	-0.600000	5.953125		158.062500
   83		-3.170000	-0.600000	5.906250		158.687500
   84		-3.170000	-0.600000	5.906250		159.500000
   85		-3.170000	-0.600000	5.906250		161.187500
   86		-3.170000	-0.600000	5.906250		162.187500
   87		-3.170000	-0.600000	6.015625		164.250000
   88		-3.170000	-0.600000	6.015625		164.562500
   89		-3.170000	-0.600000	6.125000		165.000000
   90		-3.170000	-0.600000	6.406250		166.187500
   91		-3.170000	-0.600000	6.406250		166.875000
   92		-3.170000	-0.600000	6.578125		167.437500
   93		-3.170000	-0.600000	6.859375		167.500000
   94		-3.170000	-0.600000	6.859375		166.875000
   95		-3.170000	-0.600000	7.250000		164.312500
   96		-3.170000	-0.600000	7.593750		162.437500
   97		-3.170000	-0.600000	7.593750		159.125000
   98		-3.170000	-0.600000	7.921875		154.250000
   99		-3.170000	-0.600000	8.265625		149.562500
  100		-3.170000	-0.600000	8.265625		146.812500
  101		-3.170000	-0.600000	8.593750		140.875000
  102		-3.170000	-0.600000	8.875000		135.562500
  103		-3.170000	-0.600000	8.875000		131.500000
  104		-3.170000	-0.600000	9.218750		128.875000
  105		-3.170000	-0.600000	9.562500		123.187500
  106		-3.170000	-0.600000	9.562500		116.875000
  107		-3.170000	-0.600000	9.843750		109.875000
  108		-3.170000	-0.600000	9.843750		107.250000
  109		-3.170000	-0.600000	10.171875		100.937500
